anime_name,character_name,gender,affiliation,role,devil_fruit,haki,fighting_style,major_arcs,school,position,school_year,special_roles,trait,question,category,difficulty,source_note
Haikyuu!!,Morisuke Yaku,Male,Nekoma High,libero,,,,,Nekoma High,libero,3rd year,,libero,Is your character a libero?,position,easy,https://haikyuu.fandom.com/wiki/Morisuke_Yaku
Haikyuu!!,Morisuke Yaku,Male,Nekoma High,libero,,,,,Nekoma High,libero,3rd year,,year 3rd year,Is your character a third-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Morisuke_Yaku
Haikyuu!!,Morisuke Yaku,Male,Nekoma High,libero,,,,,Nekoma High,libero,3rd year,,team nekoma,Does your character play for Nekoma?,team,easy,https://haikyuu.fandom.com/wiki/Morisuke_Yaku
Haikyuu!!,Motoki Teradomari,Male,Tsubakihara Academy,wing spiker,,,,,Tsubakihara Academy,wing spiker,3rd year,ace,gender male,Is your character male?,gender,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Motoki Teradomari,Male,Tsubakihara Academy,wing spiker,,,,,Tsubakihara Academy,wing spiker,3rd year,ace,ace,Is your character the official ace of their team?,official role,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Motoki Teradomari,Male,Tsubakihara Academy,wing spiker,,,,,Tsubakihara Academy,wing spiker,3rd year,ace,wing spiker,Is your character a wing spiker?,position,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Motoki Teradomari,Male,Tsubakihara Academy,wing spiker,,,,,Tsubakihara Academy,wing spiker,3rd year,ace,year 3rd year,Is your character a third-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Motoki Teradomari,Male,Tsubakihara Academy,wing spiker,,,,,Tsubakihara Academy,wing spiker,3rd year,ace,signature motoki teradomari,Does your character wear jersey number 4 for Tsubakihara Academy and play as a wing spiker?,signature fact,hard,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Motoki Teradomari,Male,Tsubakihara Academy,wing spiker,,,,,Tsubakihara Academy,wing spiker,3rd year,ace,team tsubakihara academy,Does your character belong to Tsubakihara Academy?,team,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Motoya Komori,Male,Itachiyama Institute,libero,,,,,Itachiyama Institute,libero,2nd year,national youth camp,gender male,Is your character male?,gender,easy,https://haikyuu.fandom.com/wiki/Itachiyama_Institute
Haikyuu!!,Motoya Komori,Male,Itachiyama Institute,libero,,,,,Itachiyama Institute,libero,2nd year,national youth camp,libero,Is your character a libero?,position,easy,https://haikyuu.fandom.com/wiki/Itachiyama_Institute
Haikyuu!!,Motoya Komori,Male,Itachiyama Institute,libero,,,,,Itachiyama Institute,libero,2nd year,national youth camp,year 2nd year,Is your character a second-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Itachiyama_Institute
Haikyuu!!,Motoya Komori,Male,Itachiyama Institute,libero,,,,,Itachiyama Institute,libero,2nd year,national youth camp,signature motoya komori,Does your character wear jersey number 13 for Itachiyama Institute and play as a libero?,signature fact,hard,https://haikyuu.fandom.com/wiki/Itachiyama_Institute
Haikyuu!!,Motoya Komori,Male,Itachiyama Institute,libero,,,,,Itachiyama Institute,libero,2nd year,national youth camp,national youth camp,Was your character invited to the All-Japan Youth training camp?,story fact,medium,https://haikyuu.fandom.com/wiki/Itachiyama_Institute
Haikyuu!!,Motoya Komori,Male,Itachiyama Institute,libero,,,,,Itachiyama Institute,libero,2nd year,national youth camp,team itachiyama institute,Does your character belong to Itachiyama Institute?,team,easy,https://haikyuu.fandom.com/wiki/Itachiyama_Institute
Haikyuu!!,Naoharu Ezota,Male,Mujinazaka High,wing spiker,,,,,Mujinazaka High,wing spiker,3rd year,,gender male,Is your character male?,gender,easy,https://haikyuu.fandom.com/wiki/Mujinazaka_High
Haikyuu!!,Naoharu Ezota,Male,Mujinazaka High,wing spiker,,,,,Mujinazaka High,wing spiker,3rd year,,wing spiker,Is your character a wing spiker?,position,easy,https://haikyuu.fandom.com/wiki/Mujinazaka_High
Haikyuu!!,Naoharu Ezota,Male,Mujinazaka High,wing spiker,,,,,Mujinazaka High,wing spiker,3rd year,,year 3rd year,Is your character a third-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Mujinazaka_High
Haikyuu!!,Naoharu Ezota,Male,Mujinazaka High,wing spiker,,,,,Mujinazaka High,wing spiker,3rd year,,signature naoharu ezota,Does your character wear jersey number 7 for Mujinazaka High and play as a wing spiker?,signature fact,hard,https://haikyuu.fandom.com/wiki/Mujinazaka_High
Haikyuu!!,Naoharu Ezota,Male,Mujinazaka High,wing spiker,,,,,Mujinazaka High,wing spiker,3rd year,,team mujinazaka high,Does your character belong to Mujinazaka High?,team,easy,https://haikyuu.fandom.com/wiki/Mujinazaka_High
Haikyuu!!,Naoyasu Kuguri,Male,Nohebi Academy,wing spiker,,,,,Nohebi Academy,wing spiker,1st year,,gender male,Is your character male?,gender,easy,https://haikyuu.fandom.com/wiki/Nohebi_Academy
Haikyuu!!,Naoyasu Kuguri,Male,Nohebi Academy,wing spiker,,,,,Nohebi Academy,wing spiker,1st year,,wing spiker,Is your character a wing spiker?,position,easy,https://haikyuu.fandom.com/wiki/Nohebi_Academy
Haikyuu!!,Naoyasu Kuguri,Male,Nohebi Academy,wing spiker,,,,,Nohebi Academy,wing spiker,1st year,,year 1st year,Is your character a first-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Nohebi_Academy
Haikyuu!!,Naoyasu Kuguri,Male,Nohebi Academy,wing spiker,,,,,Nohebi Academy,wing spiker,1st year,,signature naoyasu kuguri,Does your character wear jersey number 12 for Nohebi Academy and play as a wing spiker?,signature fact,hard,https://haikyuu.fandom.com/wiki/Nohebi_Academy
Haikyuu!!,Naoyasu Kuguri,Male,Nohebi Academy,wing spiker,,,,,Nohebi Academy,wing spiker,1st year,,team nohebi academy,Does your character belong to Nohebi Academy?,team,easy,https://haikyuu.fandom.com/wiki/Nohebi_Academy
Haikyuu!!,Nobuyoshi Iizaka,Male,Johzenji High,middle blocker,,,,,Johzenji High,middle blocker,2nd year,,gender male,Is your character male?,gender,easy,https://haikyuu.fandom.com/wiki/Johzenji_High
Haikyuu!!,Nobuyoshi Iizaka,Male,Johzenji High,middle blocker,,,,,Johzenji High,middle blocker,2nd year,,middle blocker,Is your character a middle blocker?,position,easy,https://haikyuu.fandom.com/wiki/Johzenji_High
Haikyuu!!,Nobuyoshi Iizaka,Male,Johzenji High,middle blocker,,,,,Johzenji High,middle blocker,2nd year,,year 2nd year,Is your character a second-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Johzenji_High
Haikyuu!!,Nobuyoshi Iizaka,Male,Johzenji High,middle blocker,,,,,Johzenji High,middle blocker,2nd year,,signature nobuyoshi iizaka,Does your character wear jersey number 9 for Johzenji High and play as a middle blocker?,signature fact,hard,https://haikyuu.fandom.com/wiki/Johzenji_High
Haikyuu!!,Nobuyoshi Iizaka,Male,Johzenji High,middle blocker,,,,,Johzenji High,middle blocker,2nd year,,team johzenji high,Does your character belong to Johzenji High?,team,easy,https://haikyuu.fandom.com/wiki/Johzenji_High
Haikyuu!!,Nobuyuki Kai,Male,Nekoma High,wing spiker,,,,,Nekoma High,wing spiker,3rd year,vice captain,vice captain,Is your character the team vice captain?,official role,easy,https://haikyuu.fandom.com/wiki/Nobuyuki_Kai
Haikyuu!!,Nobuyuki Kai,Male,Nekoma High,wing spiker,,,,,Nekoma High,wing spiker,3rd year,vice captain,wing spiker,Is your character a wing spiker?,position,easy,https://haikyuu.fandom.com/wiki/Nobuyuki_Kai
Haikyuu!!,Nobuyuki Kai,Male,Nekoma High,wing spiker,,,,,Nekoma High,wing spiker,3rd year,vice captain,year 3rd year,Is your character a third-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Nobuyuki_Kai
Haikyuu!!,Nobuyuki Kai,Male,Nekoma High,wing spiker,,,,,Nekoma High,wing spiker,3rd year,vice captain,team nekoma,Does your character play for Nekoma?,team,easy,https://haikyuu.fandom.com/wiki/Nobuyuki_Kai
Haikyuu!!,Nozomu Mami,Male,Mujinazaka High,middle blocker,,,,,Mujinazaka High,middle blocker,3rd year,,gender male,Is your character male?,gender,easy,https://haikyuu.fandom.com/wiki/Mujinazaka_High
Haikyuu!!,Nozomu Mami,Male,Mujinazaka High,middle blocker,,,,,Mujinazaka High,middle blocker,3rd year,,middle blocker,Is your character a middle blocker?,position,easy,https://haikyuu.fandom.com/wiki/Mujinazaka_High
Haikyuu!!,Nozomu Mami,Male,Mujinazaka High,middle blocker,,,,,Mujinazaka High,middle blocker,3rd year,,year 3rd year,Is your character a third-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Mujinazaka_High
Haikyuu!!,Nozomu Mami,Male,Mujinazaka High,middle blocker,,,,,Mujinazaka High,middle blocker,3rd year,,signature nozomu mami,Does your character wear jersey number 2 for Mujinazaka High and play as a middle blocker?,signature fact,hard,https://haikyuu.fandom.com/wiki/Mujinazaka_High
Haikyuu!!,Nozomu Mami,Male,Mujinazaka High,middle blocker,,,,,Mujinazaka High,middle blocker,3rd year,,team mujinazaka high,Does your character belong to Mujinazaka High?,team,easy,https://haikyuu.fandom.com/wiki/Mujinazaka_High
Haikyuu!!,Osamu Miya,Male,Inarizaki High,wing spiker,,,,,Inarizaki High,wing spiker,2nd year,,gray hair,Does your character have gray hair?,appearance,easy,https://haikyuu.fandom.com/wiki/Osamu_Miya
Haikyuu!!,Osamu Miya,Male,Inarizaki High,wing spiker,,,,,Inarizaki High,wing spiker,2nd year,,wing spiker,Is your character a wing spiker?,position,easy,https://haikyuu.fandom.com/wiki/Osamu_Miya
Haikyuu!!,Osamu Miya,Male,Inarizaki High,wing spiker,,,,,Inarizaki High,wing spiker,2nd year,,miya twin,Is your character one of the Miya twins?,relationship,medium,https://haikyuu.fandom.com/wiki/Osamu_Miya
Haikyuu!!,Osamu Miya,Male,Inarizaki High,wing spiker,,,,,Inarizaki High,wing spiker,2nd year,,year 2nd year,Is your character a second-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Osamu_Miya
Haikyuu!!,Osamu Miya,Male,Inarizaki High,wing spiker,,,,,Inarizaki High,wing spiker,2nd year,,team inarizaki,Does your character play for Inarizaki?,team,easy,https://haikyuu.fandom.com/wiki/Osamu_Miya
Haikyuu!!,Ren Omimi,Male,Inarizaki High,middle blocker,,,,,Inarizaki High,middle blocker,3rd year,,middle blocker,Is your character a middle blocker?,position,easy,https://haikyuu.fandom.com/wiki/Ren_Omimi
Haikyuu!!,Ren Omimi,Male,Inarizaki High,middle blocker,,,,,Inarizaki High,middle blocker,3rd year,,year 3rd year,Is your character a third-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Ren_Omimi
Haikyuu!!,Ren Omimi,Male,Inarizaki High,middle blocker,,,,,Inarizaki High,middle blocker,3rd year,,team inarizaki,Does your character play for Inarizaki?,team,easy,https://haikyuu.fandom.com/wiki/Ren_Omimi
Haikyuu!!,Reon Ohira,Male,Shiratorizawa Academy,wing spiker,,,,,Shiratorizawa Academy,wing spiker,3rd year,vice captain,vice captain,Is your character the team vice captain?,official role,easy,https://haikyuu.fandom.com/wiki/Reon_Ohira
Haikyuu!!,Reon Ohira,Male,Shiratorizawa Academy,wing spiker,,,,,Shiratorizawa Academy,wing spiker,3rd year,vice captain,wing spiker,Is your character a wing spiker?,position,easy,https://haikyuu.fandom.com/wiki/Reon_Ohira
Haikyuu!!,Reon Ohira,Male,Shiratorizawa Academy,wing spiker,,,,,Shiratorizawa Academy,wing spiker,3rd year,vice captain,year 3rd year,Is your character a third-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Reon_Ohira
Haikyuu!!,Reon Ohira,Male,Shiratorizawa Academy,wing spiker,,,,,Shiratorizawa Academy,wing spiker,3rd year,vice captain,team shiratorizawa,Does your character play for Shiratorizawa?,team,easy,https://haikyuu.fandom.com/wiki/Reon_Ohira
Haikyuu!!,Rikuto Shibuya,Male,Tokonami High,middle blocker,,,,,Tokonami High,middle blocker,2nd year,,gender male,Is your character male?,gender,easy,https://haikyuu.fandom.com/wiki/Tokonami_High
Haikyuu!!,Rikuto Shibuya,Male,Tokonami High,middle blocker,,,,,Tokonami High,middle blocker,2nd year,,middle blocker,Is your character a middle blocker?,position,easy,https://haikyuu.fandom.com/wiki/Tokonami_High
Haikyuu!!,Rikuto Shibuya,Male,Tokonami High,middle blocker,,,,,Tokonami High,middle blocker,2nd year,,year 2nd year,Is your character a second-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Tokonami_High
Haikyuu!!,Rikuto Shibuya,Male,Tokonami High,middle blocker,,,,,Tokonami High,middle blocker,2nd year,,signature rikuto shibuya,Does your character wear jersey number 10 for Tokonami High and play as a middle blocker?,signature fact,hard,https://haikyuu.fandom.com/wiki/Tokonami_High
Haikyuu!!,Rikuto Shibuya,Male,Tokonami High,middle blocker,,,,,Tokonami High,middle blocker,2nd year,,team tokonami high,Does your character belong to Tokonami High?,team,easy,https://haikyuu.fandom.com/wiki/Tokonami_High
Haikyuu!!,Rintaro Numajiri,Male,Johzenji High,wing spiker,,,,,Johzenji High,wing spiker,2nd year,,gender male,Is your character male?,gender,easy,https://haikyuu.fandom.com/wiki/Johzenji_High
Haikyuu!!,Rintaro Numajiri,Male,Johzenji High,wing spiker,,,,,Johzenji High,wing spiker,2nd year,,wing spiker,Is your character a wing spiker?,position,easy,https://haikyuu.fandom.com/wiki/Johzenji_High
Haikyuu!!,Rintaro Numajiri,Male,Johzenji High,wing spiker,,,,,Johzenji High,wing spiker,2nd year,,year 2nd year,Is your character a second-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Johzenji_High
Haikyuu!!,Rintaro Numajiri,Male,Johzenji High,wing spiker,,,,,Johzenji High,wing spiker,2nd year,,signature rintaro numajiri,Does your character wear jersey number 7 for Johzenji High and play as a wing spiker?,signature fact,hard,https://haikyuu.fandom.com/wiki/Johzenji_High
Haikyuu!!,Rintaro Numajiri,Male,Johzenji High,wing spiker,,,,,Johzenji High,wing spiker,2nd year,,team johzenji high,Does your character belong to Johzenji High?,team,easy,https://haikyuu.fandom.com/wiki/Johzenji_High
Haikyuu!!,Rintaro Suna,Male,Inarizaki High,middle blocker,,,,,Inarizaki High,middle blocker,2nd year,,narrow eyes,Does your character have narrow eyes?,appearance,easy,https://haikyuu.fandom.com/wiki/Rintaro_Suna
Haikyuu!!,Rintaro Suna,Male,Inarizaki High,middle blocker,,,,,Inarizaki High,middle blocker,2nd year,,middle blocker,Is your character a middle blocker?,position,easy,https://haikyuu.fandom.com/wiki/Rintaro_Suna
Haikyuu!!,Rintaro Suna,Male,Inarizaki High,middle blocker,,,,,Inarizaki High,middle blocker,2nd year,,year 2nd year,Is your character a second-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Rintaro_Suna
Haikyuu!!,Rintaro Suna,Male,Inarizaki High,middle blocker,,,,,Inarizaki High,middle blocker,2nd year,,team inarizaki,Does your character play for Inarizaki?,team,easy,https://haikyuu.fandom.com/wiki/Rintaro_Suna
Haikyuu!!,Runa Kuribayashi,Female,Johzenji High,manager,,,,,Johzenji High,manager,1st year,,gender female,Is your character female?,gender,easy,https://haikyuu.fandom.com/wiki/Johzenji_High
Haikyuu!!,Runa Kuribayashi,Female,Johzenji High,manager,,,,,Johzenji High,manager,1st year,,role manager,Is your character a manager?,role,easy,https://haikyuu.fandom.com/wiki/Johzenji_High
Haikyuu!!,Runa Kuribayashi,Female,Johzenji High,manager,,,,,Johzenji High,manager,1st year,,year 1st year,Is your character a first-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Johzenji_High
Haikyuu!!,Runa Kuribayashi,Female,Johzenji High,manager,,,,,Johzenji High,manager,1st year,,signature runa kuribayashi,Is your character a 1st year manager for Johzenji High?,signature fact,hard,https://haikyuu.fandom.com/wiki/Johzenji_High
Haikyuu!!,Runa Kuribayashi,Female,Johzenji High,manager,,,,,Johzenji High,manager,1st year,,team johzenji high,Does your character belong to Johzenji High?,team,easy,https://haikyuu.fandom.com/wiki/Johzenji_High
Haikyuu!!,Ryunosuke Tanaka,Male,Karasuno High,wing spiker,,,,,Karasuno High,wing spiker,2nd year,,shaved head,Does your character have a shaved head?,appearance,easy,https://haikyuu.fandom.com/wiki/Ryunosuke_Tanaka
Haikyuu!!,Ryunosuke Tanaka,Male,Karasuno High,wing spiker,,,,,Karasuno High,wing spiker,2nd year,,wing spiker,Is your character a wing spiker?,position,easy,https://haikyuu.fandom.com/wiki/Ryunosuke_Tanaka
Haikyuu!!,Ryunosuke Tanaka,Male,Karasuno High,wing spiker,,,,,Karasuno High,wing spiker,2nd year,,year 2nd year,Is your character a second-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Ryunosuke_Tanaka
Haikyuu!!,Ryunosuke Tanaka,Male,Karasuno High,wing spiker,,,,,Karasuno High,wing spiker,2nd year,,team karasuno,Does your character play for Karasuno?,team,easy,https://haikyuu.fandom.com/wiki/Ryunosuke_Tanaka
Haikyuu!!,Sachiro Hirugami,Male,Kamomedai High,middle blocker,,,,,Kamomedai High,middle blocker,2nd year,,gender male,Is your character male?,gender,easy,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Sachiro Hirugami,Male,Kamomedai High,middle blocker,,,,,Kamomedai High,middle blocker,2nd year,,middle blocker,Is your character a middle blocker?,position,easy,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Sachiro Hirugami,Male,Kamomedai High,middle blocker,,,,,Kamomedai High,middle blocker,2nd year,,year 2nd year,Is your character a second-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Sachiro Hirugami,Male,Kamomedai High,middle blocker,,,,,Kamomedai High,middle blocker,2nd year,,signature sachiro hirugami,Does your character wear jersey number 6 for Kamomedai High and play as a middle blocker?,signature fact,hard,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Sachiro Hirugami,Male,Kamomedai High,middle blocker,,,,,Kamomedai High,middle blocker,2nd year,,team kamomedai high,Does your character belong to Kamomedai High?,team,easy,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Sakae Echigo,Male,Tsubakihara Academy,setter,,,,,Tsubakihara Academy,setter,3rd year,captain,gender male,Is your character male?,gender,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Sakae Echigo,Male,Tsubakihara Academy,setter,,,,,Tsubakihara Academy,setter,3rd year,captain,captain,Is your character the team captain?,official role,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Sakae Echigo,Male,Tsubakihara Academy,setter,,,,,Tsubakihara Academy,setter,3rd year,captain,setter,Is your character a setter?,position,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Sakae Echigo,Male,Tsubakihara Academy,setter,,,,,Tsubakihara Academy,setter,3rd year,captain,year 3rd year,Is your character a third-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Sakae Echigo,Male,Tsubakihara Academy,setter,,,,,Tsubakihara Academy,setter,3rd year,captain,signature sakae echigo,Does your character wear jersey number 2 for Tsubakihara Academy and play as a setter?,signature fact,hard,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Sakae Echigo,Male,Tsubakihara Academy,setter,,,,,Tsubakihara Academy,setter,3rd year,captain,team tsubakihara academy,Does your character belong to Tsubakihara Academy?,team,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Satori Tendo,Male,Shiratorizawa Academy,middle blocker,,,,,Shiratorizawa Academy,middle blocker,3rd year,,red hair,Does your character have red hair?,appearance,easy,https://haikyuu.fandom.com/wiki/Satori_Tendo
Haikyuu!!,Satori Tendo,Male,Shiratorizawa Academy,middle blocker,,,,,Shiratorizawa Academy,middle blocker,3rd year,,guess monster,Is your character called the Guess Monster?,official nickname,medium,https://haikyuu.fandom.com/wiki/Satori_Tendo
Haikyuu!!,Satori Tendo,Male,Shiratorizawa Academy,middle blocker,,,,,Shiratorizawa Academy,middle blocker,3rd year,,middle blocker,Is your character a middle blocker?,position,easy,https://haikyuu.fandom.com/wiki/Satori_Tendo
Haikyuu!!,Satori Tendo,Male,Shiratorizawa Academy,middle blocker,,,,,Shiratorizawa Academy,middle blocker,3rd year,,year 3rd year,Is your character a third-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Satori_Tendo
Haikyuu!!,Satori Tendo,Male,Shiratorizawa Academy,middle blocker,,,,,Shiratorizawa Academy,middle blocker,3rd year,,team shiratorizawa,Does your character play for Shiratorizawa?,team,easy,https://haikyuu.fandom.com/wiki/Satori_Tendo
Haikyuu!!,Shigeru Yahaba,Male,Aoba Johsai High,setter,,,,,Aoba Johsai High,setter,2nd year,,setter,Is your character a setter?,position,easy,https://haikyuu.fandom.com/wiki/Shigeru_Yahaba
Haikyuu!!,Shigeru Yahaba,Male,Aoba Johsai High,setter,,,,,Aoba Johsai High,setter,2nd year,,year 2nd year,Is your character a second-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Shigeru_Yahaba
Haikyuu!!,Shigeru Yahaba,Male,Aoba Johsai High,setter,,,,,Aoba Johsai High,setter,2nd year,,team aoba johsai,Does your character play for Aoba Johsai?,team,easy,https://haikyuu.fandom.com/wiki/Shigeru_Yahaba
Haikyuu!!,Shinji Watari,Male,Aoba Johsai High,libero,,,,,Aoba Johsai High,libero,2nd year,,libero,Is your character a libero?,position,easy,https://haikyuu.fandom.com/wiki/Shinji_Watari
Haikyuu!!,Shinji Watari,Male,Aoba Johsai High,libero,,,,,Aoba Johsai High,libero,2nd year,,year 2nd year,Is your character a second-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Shinji_Watari
Haikyuu!!,Shinji Watari,Male,Aoba Johsai High,libero,,,,,Aoba Johsai High,libero,2nd year,,former setter,Did your character previously play as a setter?,story fact,medium,https://haikyuu.fandom.com/wiki/Shinji_Watari
Haikyuu!!,Shinji Watari,Male,Aoba Johsai High,libero,,,,,Aoba Johsai High,libero,2nd year,,team aoba johsai,Does your character play for Aoba Johsai?,team,easy,https://haikyuu.fandom.com/wiki/Shinji_Watari
Haikyuu!!,Shinsuke Kita,Male,Inarizaki High,wing spiker,,,,,Inarizaki High,wing spiker,3rd year,captain,white hair,Does your character have mostly white hair?,appearance,easy,https://haikyuu.fandom.com/wiki/Shinsuke_Kita
Haikyuu!!,Shinsuke Kita,Male,Inarizaki High,wing spiker,,,,,Inarizaki High,wing spiker,3rd year,captain,captain,Is your character the team captain?,official role,easy,https://haikyuu.fandom.com/wiki/Shinsuke_Kita
Haikyuu!!,Shinsuke Kita,Male,Inarizaki High,wing spiker,,,,,Inarizaki High,wing spiker,3rd year,captain,wing spiker,Is your character a wing spiker?,position,easy,https://haikyuu.fandom.com/wiki/Shinsuke_Kita
Haikyuu!!,Shinsuke Kita,Male,Inarizaki High,wing spiker,,,,,Inarizaki High,wing spiker,3rd year,captain,year 3rd year,Is your character a third-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Shinsuke_Kita
Haikyuu!!,Shinsuke Kita,Male,Inarizaki High,wing spiker,,,,,Inarizaki High,wing spiker,3rd year,captain,team inarizaki,Does your character play for Inarizaki?,team,easy,https://haikyuu.fandom.com/wiki/Shinsuke_Kita
Haikyuu!!,Shohei Fukunaga,Male,Nekoma High,wing spiker,,,,,Nekoma High,wing spiker,2nd year,,wing spiker,Is your character a wing spiker?,position,easy,https://haikyuu.fandom.com/wiki/Shohei_Fukunaga
Haikyuu!!,Shohei Fukunaga,Male,Nekoma High,wing spiker,,,,,Nekoma High,wing spiker,2nd year,,year 2nd year,Is your character a second-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Shohei_Fukunaga
Haikyuu!!,Shohei Fukunaga,Male,Nekoma High,wing spiker,,,,,Nekoma High,wing spiker,2nd year,,team nekoma,Does your character play for Nekoma?,team,easy,https://haikyuu.fandom.com/wiki/Shohei_Fukunaga
Haikyuu!!,Shoko Hirugami,Female,Kamomedai High girls team,wing spiker,,,,,Kamomedai High girls team,wing spiker,,former girls team player,gender female,Is your character female?,gender,easy,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Shoko Hirugami,Female,Kamomedai High girls team,wing spiker,,,,,Kamomedai High girls team,wing spiker,,former girls team player,wing spiker,Is your character a wing spiker?,position,easy,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Shoko Hirugami,Female,Kamomedai High girls team,wing spiker,,,,,Kamomedai High girls team,wing spiker,,former girls team player,signature shoko hirugami,Does your character play wing spiker for Kamomedai High's girls volleyball team?,signature fact,hard,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Shoko Hirugami,Female,Kamomedai High girls team,wing spiker,,,,,Kamomedai High girls team,wing spiker,,former girls team player,former girls team player,Is your character a former player on a high-school girls volleyball team?,story fact,medium,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Shoko Hirugami,Female,Kamomedai High girls team,wing spiker,,,,,Kamomedai High girls team,wing spiker,,former girls team player,team kamomedai high girls team,Does your character belong to Kamomedai High girls team?,team,easy,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Shoyo Hinata,Male,Karasuno High,middle blocker,,,,,Karasuno High,middle blocker,1st year,,orange hair,Does your character have orange hair?,appearance,easy,https://haikyuu.fandom.com/wiki/Shoyo_Hinata
Haikyuu!!,Shoyo Hinata,Male,Karasuno High,middle blocker,,,,,Karasuno High,middle blocker,1st year,,middle blocker,Is your character a middle blocker?,position,easy,https://haikyuu.fandom.com/wiki/Shoyo_Hinata
Haikyuu!!,Shoyo Hinata,Male,Karasuno High,middle blocker,,,,,Karasuno High,middle blocker,1st year,,main duo,Is your character one of Karasuno's first-year quick-attack pair?,relationship,medium,https://haikyuu.fandom.com/wiki/Shoyo_Hinata
Haikyuu!!,Shoyo Hinata,Male,Karasuno High,middle blocker,,,,,Karasuno High,middle blocker,1st year,,year 1st year,Is your character a first-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Shoyo_Hinata
Haikyuu!!,Shoyo Hinata,Male,Karasuno High,middle blocker,,,,,Karasuno High,middle blocker,1st year,,decoy,Does Karasuno use your character as a decoy during attacks?,story fact,medium,https://haikyuu.fandom.com/wiki/Shoyo_Hinata
Haikyuu!!,Shoyo Hinata,Male,Karasuno High,middle blocker,,,,,Karasuno High,middle blocker,1st year,,protagonist,Is your character the main protagonist who starts as a first-year middle blocker at Karasuno?,story fact,medium,https://haikyuu.fandom.com/wiki/Shoyo_Hinata
Haikyuu!!,Shoyo Hinata,Male,Karasuno High,middle blocker,,,,,Karasuno High,middle blocker,1st year,,team karasuno,Does your character play for Karasuno?,team,easy,https://haikyuu.fandom.com/wiki/Shoyo_Hinata
Haikyuu!!,Shuichi Anahori,Male,Fukurodani Academy,setter,,,,,Fukurodani Academy,setter,1st year,,gender male,Is your character male?,gender,easy,https://haikyuu.fandom.com/wiki/Fukur%C5%8Ddani_Academy
Haikyuu!!,Shuichi Anahori,Male,Fukurodani Academy,setter,,,,,Fukurodani Academy,setter,1st year,,setter,Is your character a setter?,position,easy,https://haikyuu.fandom.com/wiki/Fukur%C5%8Ddani_Academy
